Class Description	Example
.font-weight-bold	 Bold text	
.font-weight-bolder	 Bolder text	
.font-italic	     Italic text	
.font-weight-light	 Light weight text	
.font-weight-lighter	Lighter weight text	
.font-weight-normal	     Normal text	
.lead	             Makes a paragraph stand out	
.small	             Indicates smaller text (set to 80% of the size of the parent)	
.text-left	         Indicates left-aligned text	
.text-*-left	     Indicates left-aligned text on small, medium, large or xlarge screens	
.text-break	         Prevents long text from breaking layout	
.text-center	     Indicates center-aligned text	
.text-*-center	     Indicates center-aligned text on small, medium, large or xlarge screens	
.text-decoration-none	Removes the underline from a link	
.text-right	         Indicates right-aligned text	
.text-*-right	Indicates right-aligned text on small, medium, large or xlarge screens	
.text-justify	Indicates justified text	
.text-monospace	Monospaced text	
.text-nowrap	Indicates no wrap text	
.text-lowercase	Indicates lowercased text	
.text-reset	    Resets the color of a text or a link (inherits the color from its parent)	
.text-uppercase	Indicates uppercased text	
.text-capitalize	Indicates capitalized text	
.initialism	        Displays the text inside an <abbr> element in a slightly smaller font size	
.list-unstyled	Removes the default list-style and left margin on list items (works on both <ul> and <ol>). This class only applies to immediate children list items (to remove the default list-style from any nested lists, apply this class to any nested lists as well)	
.list-inline	Places all list items on a single line (used together with .list-inline-item on each <li> elements)	
.pre-scrollable	Makes a <pre> element scrollable
